Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,2960,2970,2930,2930,2930,521973
2014-04-02,2910,2930,2900,2910,2910,340174
2014-04-03,2930,2990,2910,2990,2990,261047
2014-04-04,2960,2990,2960,2970,2970,151083
2014-04-07,2900,2970,2880,2930,2930,47730
2014-04-08,2960,2960,2910,2910,2910,51025
2014-04-10,2910,2960,2910,2930,2930,67181
2014-04-11,2930,2960,2910,2930,2930,435510
2014-04-14,2960,2970,2910,2970,2970,225754
2014-04-15,2970,2970,2900,2900,2900,310269
2014-04-16,2900,2960,2880,2910,2910,351254
2014-04-17,2910,2910,2880,2900,2900,222188
2014-04-18,2900,2910,2880,2900,2900,493684
2014-04-21,2880,2900,2860,2880,2880,105128
2014-04-22,2880,2900,2880,2900,2900,126533
2014-04-23,2860,2900,2860,2860,2860,70037
2014-04-24,2860,2860,2810,2810,2810,124474
2014-04-25,2810,2900,2810,2860,2860,124699
2014-04-28,2880,2880,2850,2850,2850,94101
2014-04-29,2860,2860,2850,2850,2850,44670
2014-05-05,2850,2860,2830,2850,2850,246411
2014-05-06,2850,2860,2810,2830,2830,231759
2014-05-07,2850,2850,2800,2850,2850,101720
2014-05-08,2830,2830,2670,2750,2750,198453
2014-05-09,2750,2800,2700,2800,2800,252229
2014-05-12,2750,2760,2700,2700,2700,160743
2014-05-13,2730,2760,2730,2730,2730,118603
2014-05-14,2750,2820,2730,2790,2790,108281
2014-05-15,2760,2820,2760,2800,2800,81150
2014-05-16,2820,2820,2790,2800,2800,152398
2014-05-19,2790,2820,2760,2800,2800,55680
2014-05-20,2800,2820,2760,2800,2800,11744
2014-05-21,2820,2860,2790,2860,2860,133886
2014-05-22,2860,2870,2820,2830,2830,73670
2014-05-23,2790,2830,2790,2820,2820,14386
2014-05-26,2800,2820,2800,2820,2820,8700
2014-05-27,2800,2860,2800,2860,2860,48647
2014-05-28,2860,2870,2820,2870,2870,44261
2014-05-29,2830,2870,2830,2860,2860,36748
2014-05-30,2830,2890,2830,2860,2860,156903
2014-06-02,2830,2860,2820,2820,2820,36489
2014-06-03,2830,2890,2790,2790,2790,89839
2014-06-04,2790,2830,2790,2820,2820,42853
2014-06-05,2820,2820,2790,2820,2820,50359
2014-06-06,2820,2830,2820,2830,2830,78759
2014-06-09,2860,2860,2820,2830,2830,64344
2014-06-10,2820,2860,2790,2820,2820,33196
2014-06-11,2800,2860,2800,2860,2860,65325
2014-06-12,2830,2830,2800,2830,2830,151141
2014-06-13,2800,2830,2800,2820,2820,56672
2014-06-16,2820,2820,2800,2820,2820,50058
2014-06-17,2800,2820,2800,2820,2820,86312
2014-06-18,2800,2800,2790,2800,2800,139572
2014-06-19,2800,2820,2790,2820,2820,259600
2014-06-20,2800,2830,2800,2820,2820,98001
2014-06-23,2820,2820,2800,2800,2800,164454
2014-06-24,2800,2800,2790,2800,2800,186410
2014-06-25,2800,2830,2800,2830,2830,90182
2014-06-26,2820,2820,2800,2800,2800,250920
2014-06-27,2800,2820,2800,2820,2820,47870
