Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,7360,7360,7230,7270,7270,1701600
2014-04-02,7270,7310,7180,7270,7270,1217110
2014-04-03,7270,7360,7230,7310,7310,519700
2014-04-04,7360,7360,7270,7360,7360,608360
2014-04-07,7310,7360,7270,7310,7310,441790
2014-04-08,7310,7360,7270,7270,7270,515610
2014-04-10,7270,7310,7270,7270,7270,485550
2014-04-11,7230,7270,7180,7230,7230,670380
2014-04-14,7270,7310,7230,7270,7270,414100
2014-04-15,7230,7270,7180,7180,7180,480360
2014-04-16,7180,7180,6880,6970,6970,1065090
2014-04-17,6970,7140,6970,7010,7010,681040
2014-04-18,7010,7060,6930,6930,6930,763370
2014-04-21,6930,6930,6700,6750,6750,565920
2014-04-22,6700,6880,6660,6880,6880,529160
2014-04-23,6930,6930,6790,6880,6880,217960
2014-04-24,6830,6930,6830,6930,6930,288090
2014-04-25,6830,6970,6830,6830,6830,516240
2014-04-28,6830,6880,6790,6830,6830,336220
2014-04-29,6830,6880,6830,6880,6880,202970
2014-05-05,6930,6930,6750,6790,6790,301760
2014-05-06,6750,6790,6580,6620,6620,479520
2014-05-07,6620,6790,6620,6750,6750,274120
2014-05-08,6660,6660,6310,6360,6360,1515840
2014-05-09,6270,6450,6270,6450,6450,308830
2014-05-12,6400,6400,6010,6100,6100,520700
2014-05-13,5880,6180,5880,6140,6140,695610
2014-05-14,6100,6450,6100,6400,6400,473470
2014-05-15,6450,6450,6050,6180,6180,636940
2014-05-16,6180,6360,6140,6360,6360,333670
2014-05-19,6270,6400,6270,6310,6310,357580
2014-05-20,6310,6400,6270,6400,6400,181780
2014-05-21,6310,6530,6270,6490,6490,604540
2014-05-22,6490,6490,6360,6360,6360,233070
2014-05-23,6400,6400,6310,6400,6400,163360
2014-05-26,6360,6400,6310,6360,6360,103450
2014-05-27,6360,6530,6360,6530,6530,445140
2014-05-28,6530,6530,6450,6490,6490,404820
2014-05-29,6450,6530,6450,6490,6490,423040
2014-05-30,6450,6490,6400,6450,6450,192420
2014-06-02,6450,6450,6310,6360,6360,278960
2014-06-03,6310,6400,6310,6310,6310,168500
2014-06-04,6310,6360,6230,6310,6310,157450
2014-06-05,6310,6310,6230,6310,6310,54870
2014-06-06,6270,6360,6270,6360,6360,91870
2014-06-09,6360,6400,6270,6310,6310,162110
2014-06-10,6310,6450,6270,6400,6400,216450
2014-06-11,6400,6400,6310,6400,6400,361280
2014-06-12,6400,6490,6400,6490,6490,454450
2014-06-13,6450,6530,6400,6490,6490,507030
2014-06-16,6490,6530,6450,6490,6490,343780
2014-06-17,6490,6530,6450,6490,6490,241630
2014-06-18,6490,6530,6450,6490,6490,427080
2014-06-19,6450,6490,6360,6490,6490,310390
2014-06-20,6450,6490,6400,6400,6400,136260
2014-06-23,6400,6490,6400,6490,6490,210760
2014-06-24,6450,6530,6450,6530,6530,317550
2014-06-25,6490,6530,6450,6530,6530,282130
2014-06-26,6490,6660,6450,6580,6580,561760
2014-06-27,6530,6620,6530,6620,6620,295440
2014-06-30,6620,6620,6530,6620,6620,259480
2014-07-01,6580,6580,6530,6580,6580,375930
2014-07-02,6580,6660,6530,6620,6620,650420
2014-07-03,6620,6660,6580,6620,6620,391260
2014-07-04,6620,6620,6580,6620,6620,206750
2014-07-07,6580,6620,6530,6530,6530,252570
2014-07-08,6530,6580,6450,6450,6450,284940
2014-07-09,6490,6580,6450,6530,6530,304900
2014-07-10,6530,6530,6450,6450,6450,344960
2014-07-11,6490,6490,6450,6490,6490,117230
2014-07-14,6450,6490,6400,6450,6450,82990
2014-07-15,6450,6490,6400,6490,6490,355370
2014-07-16,6530,6530,6490,6490,6490,356200
2014-07-17,6490,6530,6450,6490,6490,103650
2014-07-18,6530,6530,6490,6530,6530,347570
2014-07-21,6490,6530,6450,6490,6490,126260
2014-07-22,6450,6490,6400,6450,6450,95750
2014-07-23,6490,6490,6400,6400,6400,142650
2014-07-24,6400,6490,6400,6450,6450,185940
2014-07-25,6450,6830,6450,6660,6660,1736770
2014-07-28,6660,6700,6580,6660,6660,450520
2014-07-29,6700,6700,6580,6580,6580,242380
2014-07-30,6580,6700,6530,6620,6620,1349570
2014-07-31,6620,6660,6580,6620,6620,356880
2014-08-01,6620,6700,6620,6660,6660,406370
2014-08-04,6660,6880,6660,6830,6830,1466890
2014-08-05,6830,6880,6790,6830,6830,730130
2014-08-06,6830,6830,6750,6790,6790,278630
2014-08-07,6750,6830,6750,6790,6790,603770
2014-08-08,6880,6880,6700,6790,6790,899050
2014-08-11,6740,6790,6650,6650,6650,256040
2014-08-12,6650,6650,6560,6610,6610,252780
2014-08-13,6560,6650,6520,6650,6650,329460
2014-08-14,6610,6700,6560,6560,6560,261390
2014-08-15,6610,6610,6520,6520,6520,202100
2014-08-18,6470,6520,6330,6380,6380,721730
2014-08-19,6380,6430,6380,6380,6380,343930
2014-08-20,6380,6430,6380,6430,6430,370800
2014-08-21,6470,6520,6380,6520,6520,475540
2014-08-22,6520,6520,6380,6380,6380,585500
2014-08-25,6430,6430,6380,6380,6380,313870
2014-08-26,6430,6470,6380,6470,6470,367320
2014-08-27,6470,6470,6380,6380,6380,227180
2014-08-28,6380,6430,6380,6430,6430,202330
2014-08-29,6430,6840,6380,6840,6840,2090500
2014-09-03,6840,6930,6700,6740,6740,593880
2014-09-04,6700,6790,6610,6650,6650,390050
2014-09-05,6610,6650,6520,6610,6610,739480
2014-09-08,6610,6610,6520,6520,6520,846120
2014-09-09,6520,6560,6430,6520,6520,399870
2014-09-10,6470,6520,6430,6470,6470,252240
2014-09-11,6470,6520,6430,6470,6470,209860
2014-09-12,6470,6520,6430,6470,6470,250500
2014-09-15,6470,6520,6380,6430,6430,392500
2014-09-16,6430,6430,6330,6380,6380,473890
2014-09-17,6380,6430,6330,6380,6380,434550
2014-09-18,6430,6430,6330,6380,6380,221490
2014-09-19,6380,6430,6330,6380,6380,225530
2014-09-22,6380,6430,6330,6330,6330,354320
2014-09-23,6330,6380,6290,6330,6330,269030
2014-09-24,6330,6380,6290,6290,6290,206180
2014-09-25,6330,6430,6290,6380,6380,335400
2014-09-26,6380,6430,6330,6330,6330,97740
2014-09-29,6330,6430,6330,6380,6380,368070
2014-09-30,6380,6380,6290,6330,6330,230550
2014-10-01,6330,6380,6330,6330,6330,250860
2014-10-02,6330,6380,6330,6380,6380,343140
2014-10-03,6380,6430,6330,6380,6380,108820
2014-10-06,6380,6380,6330,6380,6380,288640
2014-10-07,6380,6380,6330,6330,6330,258270
2014-10-08,6330,6330,6240,6290,6290,669460
2014-10-09,6290,6330,6240,6290,6290,433470
2014-10-10,6290,6290,6240,6240,6240,423660
2014-10-13,6290,6290,6150,6200,6200,302560
2014-10-14,6240,6240,6110,6110,6110,257940
2014-10-15,6110,6150,6060,6110,6110,272660
2014-10-16,6110,6150,6020,6020,6020,221660
2014-10-17,6020,6060,5920,6020,6020,414390
2014-10-20,6060,6060,5970,6060,6060,100900
2014-10-21,6020,6060,6020,6060,6060,155550
2014-10-22,6060,6110,6020,6060,6060,159840
2014-10-23,6060,6060,5970,6020,6020,311540
2014-10-24,5970,6060,5970,5970,5970,127540
2014-10-27,5920,5970,5790,5790,5790,353810
2014-10-28,5790,5830,5790,5830,5830,299750
2014-10-29,5830,5920,5830,5880,5880,189190
2014-10-30,5920,5920,5830,5880,5880,69700
2014-10-31,5880,6200,5830,6200,6200,372750
2014-11-03,6150,6200,6060,6060,6060,419180
2014-11-04,6060,6060,5970,5970,5970,109060
2014-11-05,5970,6020,5920,5920,5920,133390
2014-11-06,5970,6060,5970,6020,6020,237440
2014-11-07,6020,6060,5970,6020,6020,148180
2014-11-10,6020,6060,6020,6020,6020,113490
2014-11-11,6020,6060,5970,5970,5970,116250
2014-11-12,6020,6020,5970,5970,5970,124110
2014-11-13,6020,6060,5970,6060,6060,139390
2014-11-14,6060,6060,5970,5970,5970,223700
2014-11-17,6060,6060,5970,6060,6060,258110
2014-11-18,5970,6060,5970,6020,6020,244260
2014-11-19,5970,6020,5970,6020,6020,104150
2014-11-20,6020,6020,5970,5970,5970,140250
2014-11-21,5970,6020,5970,5970,5970,347440
2014-11-24,5970,5970,5880,5920,5920,202960
2014-11-25,5920,5970,5920,5920,5920,150970
2014-11-26,5920,5970,5880,5880,5880,274110
2014-11-27,5880,5880,5790,5830,5830,361890
2014-11-28,5830,5880,5830,5830,5830,188610
2014-12-01,5830,5920,5830,5920,5920,97520
2014-12-02,5920,6020,5830,6020,6020,495640
2014-12-03,5970,6020,5920,6020,6020,213520
2014-12-04,6020,6240,5970,6110,6110,801550
2014-12-05,6110,6200,6060,6150,6150,434010
2014-12-08,6150,6150,6060,6060,6060,220750
2014-12-09,6060,6060,5880,5920,5920,428590
2014-12-10,5920,6060,5830,5970,5970,458660
2014-12-11,5970,6060,5920,6020,6020,310500
2014-12-12,6020,6110,6020,6020,6020,188780
2014-12-15,6020,6060,6020,6020,6020,124110
2014-12-16,5970,6020,5920,5920,5920,197950
2014-12-17,5880,5970,5740,5830,5830,373740
2014-12-18,5880,5920,5830,5920,5920,72360
2014-12-19,5920,5970,5830,5920,5920,51430
2014-12-22,5920,6060,5920,6020,6020,364470
2014-12-23,6020,6060,5970,6020,6020,146840
2014-12-24,5970,6020,5920,5970,5970,92620
2014-12-25,5920,5970,5880,5970,5970,102730
2014-12-26,5970,5970,5880,5880,5880,84170
2014-12-29,5920,5970,5830,5830,5830,86380
2014-12-30,5830,5920,5830,5920,5920,128410
2014-12-31,5920,6020,5830,5830,5830,214120
2015-01-05,5920,5970,5920,5920,5920,66380
2015-01-06,5880,6110,5880,6060,6060,403170
2015-01-07,6060,6240,6020,6240,6240,830630
2015-01-08,6240,6330,6150,6240,6240,798240
2015-01-09,6240,6650,6240,6650,6650,3291280
2015-01-12,6880,7120,6840,7120,7120,3509140
2015-01-13,7160,7570,7160,7530,7530,4239540
2015-01-14,7480,7760,7300,7480,7480,3626720
2015-01-15,7530,7760,7480,7530,7530,3854730
2015-01-16,7570,7670,7440,7440,7440,2253150
2015-01-19,7570,7710,7440,7530,7530,3218140
2015-01-20,7480,7530,7350,7440,7440,1468560
2015-01-21,7440,7480,7210,7210,7210,1726690
2015-01-22,7210,7670,7070,7670,7670,4915010
2015-01-23,7890,8119,7850,7980,7980,5685560
2015-01-26,7980,8080,7890,7980,7980,2805130
2015-01-27,7940,8260,7850,7980,7980,6307270
2015-01-28,7980,8540,7980,8540,8540,7664440
2015-01-29,8500,8630,8210,8360,8360,4488270
2015-01-30,8260,8310,7980,8029,8029,4223660
2015-02-02,7980,8119,7890,7890,7890,2416500
2015-02-03,8029,8029,7350,7350,7350,4755860
2015-02-04,7210,7300,6930,7210,7210,4557400
2015-02-05,7300,7570,7260,7530,7530,1889090
2015-02-06,7570,7980,7480,7980,7980,2719610
2015-02-09,7890,8119,7850,7940,7940,4540560
2015-02-10,8170,8310,8080,8210,8210,3685400
2015-02-11,8170,8360,8119,8310,8310,2092460
2015-02-12,8310,8360,8029,8170,8170,2683000
2015-02-13,8170,8310,8029,8170,8170,2237110
2015-02-24,8310,8540,8260,8500,8500,2604540
2015-02-25,8630,8810,8450,8500,8500,6844330
2015-02-26,8500,8720,8500,8680,8680,2272350
2015-02-27,8680,8770,8500,8540,8540,2068430
2015-03-02,8450,8590,8400,8500,8500,2321900
2015-03-03,8500,8630,8500,8540,8540,2069810
2015-03-04,8540,8590,8400,8540,8540,3163180
2015-03-05,8540,8590,8310,8310,8310,2812950
2015-03-06,8310,8590,8210,8500,8500,3674670
2015-03-09,8500,8540,8260,8310,8310,1681020
