Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,2660,2660,2490,2490,2490,117040
2014-04-02,2490,2620,2350,2520,2520,78300
2014-04-03,2490,2560,2490,2560,2560,40860
2014-04-04,2560,2560,2490,2520,2520,6310
2014-04-07,2390,2560,2390,2520,2520,60400
2014-04-08,2450,2520,2410,2520,2520,49210
2014-04-10,2520,2520,2450,2450,2450,29480
2014-04-11,2410,2490,2390,2490,2490,27970
2014-04-14,2490,2490,2390,2410,2410,23910
2014-04-15,2350,2350,2290,2320,2320,85330
2014-04-16,2220,2320,2190,2190,2190,79570
2014-04-17,2190,2320,2190,2290,2290,11220
2014-04-18,2150,2350,2150,2150,2150,13850
2014-04-21,2150,2290,2050,2120,2120,44480
2014-04-22,2150,2250,2050,2250,2250,43550
2014-04-23,2390,2390,2390,2390,2390,29480
2014-04-24,2520,2520,2450,2520,2520,160600
2014-04-25,2520,2520,2450,2490,2490,60190
2014-04-28,2620,2620,2410,2520,2520,1040
2014-04-29,2490,2520,2390,2490,2490,7270
2014-05-05,2350,2410,2350,2350,2350,23100
2014-05-06,2410,2410,2250,2390,2390,5540
2014-05-07,2390,2410,2290,2410,2410,4070
2014-05-08,2290,2290,2290,2290,2290,6350
2014-05-09,2190,2390,2150,2290,2290,54940
2014-05-12,2150,2190,2150,2150,2150,46580
2014-05-13,2120,2150,2050,2050,2050,62680
2014-05-14,1950,2190,1950,2190,2190,95180
2014-05-15,2190,2290,2050,2050,2050,47360
2014-05-16,1910,2009,1910,1950,1950,81970
2014-05-19,1840,2009,1840,2009,2009,37820
2014-05-20,1910,2009,1910,1950,1950,39790
2014-05-21,1980,2009,1910,2009,2009,91630
2014-05-22,2080,2080,2009,2009,2009,23050
2014-05-23,2050,2050,1950,1980,1980,12230
2014-05-26,1980,2009,1910,2009,2009,17480
2014-05-27,1950,2050,1950,2009,2009,50290
2014-05-28,2050,2050,1980,2009,2009,11990
2014-05-29,2009,2120,1980,1980,1980,59050
2014-05-30,1980,2009,1980,2009,2009,17430
2014-06-02,1950,1980,1950,1980,1980,21520
2014-06-03,1950,2009,1950,2009,2009,39940
2014-06-04,2009,2009,1910,2009,2009,30500
2014-06-05,2050,2050,2050,2050,2050,1000
2014-06-06,1950,2009,1950,1950,1950,8040
2014-06-09,2009,2009,1980,2009,2009,8810
2014-06-10,2009,2009,1980,2009,2009,1610
2014-06-11,1980,2009,1950,2009,2009,6430
2014-06-12,1980,2050,1980,2050,2050,21850
2014-06-13,2050,2050,2050,2050,2050,9080
2014-06-16,2009,2009,1980,2009,2009,2090
2014-06-17,1980,2009,1980,1980,1980,38310
2014-06-18,1980,2009,1980,2009,2009,33770
2014-06-19,1980,2050,1950,2050,2050,9410
2014-06-20,1980,2009,1980,2009,2009,10520
2014-06-23,1980,2009,1980,2009,2009,31810
2014-06-24,2009,2050,2009,2050,2050,920
2014-06-25,2080,2080,2009,2009,2009,3790
2014-06-26,2050,2080,2009,2080,2080,16180
2014-06-27,2120,2120,2080,2120,2120,21380
2014-06-30,2120,2150,2080,2150,2150,8730
2014-07-01,2150,2150,2120,2150,2150,8430
2014-07-02,2150,2190,2120,2150,2150,31000
2014-07-03,2150,2290,2080,2290,2290,159910
2014-07-04,2410,2410,2410,2410,2410,122280
2014-07-07,2520,2560,2450,2560,2560,198390
2014-07-08,2560,2560,2410,2490,2490,74050
2014-07-09,2410,2490,2390,2450,2450,38830
2014-07-10,2390,2390,2320,2390,2390,69270
2014-07-11,2390,2450,2350,2390,2390,4530
2014-07-14,2350,2410,2350,2390,2390,6280
2014-07-15,2390,2520,2390,2520,2520,300490
2014-07-16,2590,2590,2520,2520,2520,63550
2014-07-17,2490,2490,2410,2490,2490,5520
2014-07-18,2390,2520,2350,2490,2490,49420
2014-07-21,2520,2520,2410,2520,2520,118290
