Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,4850,4880,4560,4590,4590,1143900
2014-04-02,4590,4640,4320,4460,4460,1049070
2014-04-03,4490,4760,4490,4760,4760,1241920
2014-04-04,4800,4830,4640,4700,4700,626070
2014-04-07,4700,4800,4670,4760,4760,535580
2014-04-08,4800,4970,4760,4940,4940,1172100
2014-04-10,4970,5040,4910,5000,5000,1078500
2014-04-11,4940,5000,4880,4970,4970,897940
2014-04-14,4970,5000,4910,4910,4910,634920
2014-04-15,4910,4940,4700,4730,4730,975220
2014-04-16,4700,4760,4560,4670,4670,970730
2014-04-17,4700,4830,4700,4800,4800,375160
2014-04-18,4800,4800,4460,4560,4560,449740
2014-04-21,4560,4700,4490,4590,4590,788490
2014-04-22,4640,4760,4560,4760,4760,370350
2014-04-23,4830,4910,4670,4670,4670,725780
2014-04-24,4700,4800,4700,4730,4730,223510
2014-04-25,4730,4830,4730,4760,4760,169740
2014-04-28,4800,4800,4670,4670,4670,223990
2014-04-29,4610,4760,4610,4760,4760,192220
2014-05-05,4700,4760,4490,4520,4520,215030
2014-05-06,4490,4490,4220,4290,4290,1059390
2014-05-07,4250,4350,4190,4290,4290,285640
2014-05-08,4110,4110,3980,3980,3980,608620
2014-05-09,3840,4110,3840,4080,4080,963490
2014-05-12,4010,4010,3810,3810,3810,1018380
2014-05-13,3710,3900,3660,3740,3740,624350
2014-05-14,3680,3950,3680,3950,3950,324300
2014-05-15,3920,4130,3680,3950,3950,538770
2014-05-16,3870,4130,3870,4130,4130,189080
2014-05-19,4160,4370,4010,4350,4350,326720
2014-05-20,4350,4490,4250,4490,4490,444850
2014-05-21,4490,4560,4370,4560,4560,305510
2014-05-22,4460,4560,4350,4350,4350,240040
2014-05-23,4290,4370,4190,4290,4290,246240
2014-05-26,4290,4400,4220,4350,4350,177620
2014-05-27,4350,4490,4350,4490,4490,297510
2014-05-28,4490,4490,4400,4460,4460,194000
2014-05-29,4460,4460,4320,4370,4370,295490
2014-05-30,4370,4400,4320,4320,4320,129690
2014-06-02,4250,4350,4160,4220,4220,178880
