Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,6490,6490,6490,6490,6490,0
2014-04-02,6170,6350,6170,6350,6350,1700
2014-04-03,6350,6350,6350,6350,6350,10
2014-04-04,6350,6350,6320,6320,6320,3320
2014-04-07,6320,6320,6320,6320,6320,50
2014-04-08,6320,6320,6320,6320,6320,0
2014-04-10,6210,6210,6060,6060,6060,970
2014-04-11,6170,6170,5920,6170,6170,30
2014-04-14,6490,6490,6250,6320,6320,200
2014-04-15,6250,6250,5990,5990,5990,550
2014-04-16,6350,6350,6350,6350,6350,10
2014-04-17,5970,5970,5970,5970,5970,10
2014-04-18,6320,6320,6320,6320,6320,10
2014-04-21,5890,5890,5890,5890,5890,2210
2014-04-22,6210,6210,5890,5890,5890,8020
2014-04-23,5570,5990,5570,5990,5990,3490
2014-04-24,5640,5990,5640,5990,5990,410
2014-04-25,6060,6060,6060,6060,6060,10
2014-04-28,5820,5990,5820,5990,5990,510
2014-04-29,6170,6170,6170,6170,6170,10
2014-05-05,5990,6060,5990,6060,6060,3010
2014-05-06,5640,6170,5640,6170,6170,3660
2014-05-07,5750,6100,5750,6100,6100,1510
2014-05-08,5680,5710,5680,5710,5710,2050
2014-05-09,5330,6100,5330,6100,6100,4790
2014-05-12,5990,6100,5680,6100,6100,360
2014-05-13,6100,6100,6100,6100,6100,0
2014-05-14,5970,5990,5970,5990,5990,1890
2014-05-15,5990,5990,5610,5610,5610,110
2014-05-16,5920,5990,5820,5990,5990,2100
2014-05-19,5970,5990,5820,5990,5990,2310
2014-05-20,5970,5990,5820,5990,5990,2070
2014-05-21,5990,5990,5990,5990,5990,600
2014-05-22,5990,5990,5990,5990,5990,0
2014-05-23,5820,5990,5820,5990,5990,2050
2014-05-26,5990,5990,5990,5990,5990,0
2014-05-27,6350,6350,6350,6350,6350,300
2014-05-28,5990,5990,5990,5990,5990,500
2014-05-29,6170,6170,6170,6170,6170,10
2014-05-30,6170,6170,6170,6170,6170,0
2014-06-02,6170,6170,6040,6040,6040,4390
2014-06-03,6040,6040,6040,6040,6040,0
2014-06-04,5820,5970,5640,5970,5970,1630
