Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,9820,9820,9540,9680,9680,737670
2014-04-02,9680,9820,9320,9540,9540,1636330
2014-04-03,9610,9680,9460,9610,9610,590550
2014-04-04,9610,9680,9460,9540,9540,830330
2014-04-07,9610,9820,9540,9750,9750,1118980
2014-04-08,9820,10030,9820,9890,9890,1878400
2014-04-10,9960,9960,9820,9820,9820,912440
2014-04-11,9750,9960,9750,9890,9890,924700
2014-04-14,9960,10170,9890,10030,10030,1720820
2014-04-15,10030,10090,9820,9890,9890,1217060
2014-04-16,9820,9890,9540,9680,9680,1456070
2014-04-17,9750,9820,9610,9820,9820,818960
2014-04-18,9820,9820,9460,9460,9460,1033560
2014-04-21,9400,9460,9120,9120,9120,1218760
2014-04-22,9190,9400,8990,9400,9400,1077740
2014-04-23,9400,9460,9120,9190,9190,692970
2014-04-24,9190,9400,9060,9190,9190,1121510
2014-04-25,9190,9540,9190,9460,9460,1127330
2014-04-28,9540,9680,9460,9610,9610,917950
2014-04-29,9540,9610,9460,9610,9610,496380
2014-05-05,9680,9680,9270,9270,9270,1120840
2014-05-06,9190,9320,8840,9120,9120,1567890
2014-05-07,9300,9380,9040,9120,9120,1115910
2014-05-08,8820,8820,8480,8480,8480,1858320
2014-05-09,8220,8480,8010,8270,8270,1193120
2014-05-12,8020,8020,7710,7710,7710,1232320
2014-05-13,7200,7590,7170,7290,7290,2150110
2014-05-14,7260,7760,7260,7720,7720,952710
2014-05-15,7780,7960,7200,7420,7420,1266670
2014-05-16,7420,7860,7400,7860,7860,1085770
2014-05-19,7880,8010,7700,7860,7860,901880
2014-05-20,7850,7930,7720,7930,7930,1072290
2014-05-21,7930,8300,7860,8270,8270,1296900
2014-05-22,8270,8300,8150,8189,8189,1277180
2014-05-23,8140,8270,8070,8119,8119,533720
2014-05-26,8039,8119,7960,8080,8080,686760
2014-05-27,8100,8220,8070,8150,8150,891290
2014-05-28,8220,8320,8200,8220,8220,690790
2014-05-29,8220,8440,8200,8240,8240,940410
2014-05-30,8240,8380,8200,8270,8270,659030
2014-06-02,8220,8270,8080,8119,8119,558490
2014-06-03,8080,8170,8070,8080,8080,377900
2014-06-04,8080,8100,7860,7930,7930,653550
2014-06-05,7890,7930,7830,7890,7890,390740
2014-06-06,7880,8039,7880,8039,8039,355690
2014-06-09,8080,8119,7990,8020,8020,563170
2014-06-10,7960,8200,7950,8020,8020,586890
2014-06-11,8080,8320,8070,8320,8320,1506620
2014-06-12,8410,8480,8320,8430,8430,1051470
2014-06-13,8430,8440,8380,8410,8410,453330
2014-06-16,8410,8410,8270,8320,8320,895350
2014-06-17,8320,8410,8270,8390,8390,816170
2014-06-18,8390,8410,8330,8330,8330,391410
2014-06-19,8320,8380,8080,8270,8270,1065490
2014-06-20,8270,8380,8240,8270,8270,279210
2014-06-23,8270,8270,8189,8200,8200,208170
2014-06-24,8189,8270,8170,8270,8270,314410
2014-06-25,8300,8390,8270,8330,8330,535400
2014-06-26,8330,8380,8300,8320,8320,340790
2014-06-27,8300,8470,8300,8380,8380,1512800
2014-06-30,8330,8410,8330,8330,8330,400120
2014-07-01,8330,8410,8330,8350,8350,595450
2014-07-02,8350,8410,8350,8410,8410,633630
2014-07-03,8440,8650,8440,8620,8620,1296890
2014-07-04,8670,8870,8650,8850,8850,1789990
2014-07-07,8930,9210,8930,8950,8950,1768130
2014-07-08,8930,9040,8850,8930,8930,668720
2014-07-09,8950,8950,8850,8900,8900,682070
2014-07-10,8900,8900,8650,8720,8720,1262450
2014-07-11,8720,8720,8620,8710,8710,671180
2014-07-14,8710,8870,8690,8840,8840,868190
2014-07-15,9040,9120,8900,8950,8950,785570
2014-07-16,9120,9120,8930,8930,8930,1240280
2014-07-17,8900,8930,8800,8840,8840,836020
2014-07-18,8800,9380,8800,9380,9380,3985310
2014-07-21,9300,9470,9040,9120,9120,1718340
2014-07-22,9120,9470,9040,9300,9300,1282720
2014-07-23,9210,9380,9120,9210,9210,1050840
2014-07-24,9210,9470,9210,9380,9380,1516130
2014-07-25,9380,9570,9210,9210,9210,1257720
2014-07-28,9120,9120,8900,8950,8950,1675170
2014-07-29,8950,9040,8850,8900,8900,938580
2014-07-30,8930,9120,8900,8930,8930,690950
2014-07-31,8930,9040,8900,9040,9040,705490
2014-08-01,8950,9040,8900,8900,8900,725990
2014-08-04,8930,9040,8900,8950,8950,757490
2014-08-05,9120,9300,9120,9210,9210,1433070
2014-08-06,9210,9210,9040,9120,9120,973690
2014-08-07,9120,9120,8950,9040,9040,648290
2014-08-08,9120,9210,8950,9040,9040,738670
2014-08-11,9120,9120,8950,9040,9040,640870
2014-08-12,9040,9120,8950,9040,9040,634600
2014-08-13,9120,9210,9040,9210,9210,842940
2014-08-14,9210,9300,9120,9300,9300,1283060
2014-08-15,9210,9300,9120,9210,9210,828590
2014-08-18,9210,9470,9120,9380,9380,1735290
2014-08-19,9380,9660,9380,9470,9470,3127310
2014-08-20,9570,9570,9380,9470,9470,1321660
2014-08-21,9470,9570,9380,9380,9380,1643270
2014-08-22,9470,9570,9380,9470,9470,1804530
2014-08-25,9570,9660,9470,9570,9570,1798790
2014-08-26,9570,10110,9470,10030,10030,3673930
2014-08-27,10030,10210,9840,10030,10030,1956570
2014-08-28,10030,10480,10030,10390,10390,2505050
2014-08-29,10390,10480,10210,10480,10480,1498060
2014-09-03,10580,10660,10300,10390,10390,1754970
2014-09-04,10300,10390,10210,10390,10390,1391520
2014-09-05,10390,10580,10390,10580,10580,2025880
2014-09-08,10660,10840,10580,10660,10660,2368420
2014-09-09,10660,10660,9930,10110,10110,3943470
2014-09-10,10110,10300,9930,10210,10210,1663390
2014-09-11,10210,10300,10110,10110,10110,978400
2014-09-12,10210,10300,10030,10210,10210,1274520
2014-09-15,10390,10480,10110,10210,10210,1604040
2014-09-16,10210,10300,10030,10210,10210,1634520
2014-09-17,10390,10480,10210,10300,10300,2089480
2014-09-18,10300,10300,9930,10030,10030,1681870
2014-09-19,10030,10030,9840,9840,9840,1499270
2014-09-22,9840,9930,9660,9660,9660,1424110
2014-09-23,9660,9840,9570,9570,9570,1320590
2014-09-24,9570,9750,9470,9570,9570,1023270
2014-09-25,9660,9750,9470,9750,9750,1111670
