Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,40470,40710,39980,40230,40230,366820
2014-04-02,40230,40470,39980,40230,40230,182420
2014-04-03,40470,40960,40230,40960,40960,284810
2014-04-04,40960,42160,40960,41930,41930,405130
2014-04-07,43140,44110,42420,43380,43380,891640
2014-04-08,43380,44840,43140,44840,44840,780470
2014-04-10,45070,46050,44840,44840,44840,780270
2014-04-11,44590,45800,44110,45800,45800,446330
2014-04-14,46050,46050,45570,45570,45570,299930
2014-04-15,45570,45800,45070,45070,45070,636020
2014-04-16,44590,45070,43860,43860,43860,559970
2014-04-17,45070,45070,43860,44590,44590,488130
2014-04-18,44840,44840,43860,44110,44110,391850
2014-04-21,44110,44590,43620,43620,43620,365500
2014-04-22,44110,44110,43620,44110,44110,316220
2014-04-23,44110,44350,43860,44350,44350,222550
2014-04-24,44110,44840,44110,44840,44840,289010
2014-04-25,45070,47740,45070,47020,47020,677640
2014-04-28,47260,48220,47020,47020,47020,267870
2014-04-29,46520,48220,46520,48220,48220,415580
2014-05-05,48960,49430,47980,48220,48220,504920
2014-05-06,47980,47980,46520,47500,47500,829520
2014-05-07,47980,47980,47020,47740,47740,145760
2014-05-08,46520,46780,44590,44590,44590,1672090
2014-05-09,44350,47020,43380,47020,47020,957260
2014-05-12,47510,47510,44290,44790,44790,459030
2014-05-13,44290,45030,44050,44550,44550,309180
2014-05-14,44050,45030,44050,44790,44790,646320
2014-05-15,45030,45780,42560,44550,44550,1023950
2014-05-16,44550,44790,43310,44050,44050,423650
2014-05-19,44050,44050,42810,43310,43310,436700
2014-05-20,43310,44790,43310,44550,44550,305130
2014-05-21,44550,45280,44050,45280,45280,363720
2014-05-22,45280,46020,45030,45530,45530,490600
2014-05-23,45530,46270,45530,45780,45780,303820
2014-05-26,45530,45780,45280,45780,45780,171180
2014-05-27,45530,46020,45280,46020,46020,330780
2014-05-28,46270,46520,45780,46520,46520,276050
2014-05-29,46520,47750,46270,47510,47510,297670
2014-05-30,47750,49240,47510,48250,48250,1049070
2014-06-02,48000,48500,47510,47750,47750,644570
2014-06-03,48000,48750,47510,48500,48500,311430
2014-06-04,48500,48750,48000,48750,48750,459530
2014-06-05,48500,48750,48250,48250,48250,231090
2014-06-06,48500,49490,48250,49490,49490,363090
2014-06-09,49490,52950,49490,51470,51470,497320
2014-06-10,52450,54440,51470,52950,52950,319660
2014-06-11,52950,53940,52450,52950,52950,441310
2014-06-12,52950,53450,52450,53450,53450,266100
2014-06-13,52950,54440,52950,53450,53450,321360
2014-06-16,53450,53940,52450,52450,52450,297050
2014-06-17,52450,52450,50980,51960,51960,512310
2014-06-18,51960,52450,51470,51470,51470,159890
2014-06-19,50980,51960,49490,51960,51960,395800
2014-06-20,51960,52950,50980,51470,51470,287070
2014-06-23,51470,52450,50980,51960,51960,263960
2014-06-24,51960,53450,51960,52950,52950,521870
2014-06-25,52950,53450,52450,52450,52450,201080
2014-06-26,52450,53450,51960,53450,53450,252140
2014-06-27,53450,55430,53450,55430,55430,326900
2014-06-30,54940,56410,54940,55430,55430,154120
2014-07-01,55430,55920,54440,54940,54940,566990
2014-07-02,54940,55430,53940,53940,53940,363450
2014-07-03,54440,54940,53450,54940,54940,257550
2014-07-04,54940,55920,54440,55430,55430,330800
2014-07-07,55430,55430,54440,54440,54440,229150
2014-07-08,54440,55430,53940,54940,54940,204900
2014-07-09,54940,55430,54440,54940,54940,137790
2014-07-10,54940,54940,53450,54440,54440,222070
2014-07-11,54440,54940,53940,53940,53940,105000
2014-07-14,53940,54440,53450,54440,54440,224460
2014-07-15,54440,54440,53940,54440,54440,287530
2014-07-16,54940,54940,53940,53940,53940,311650
2014-07-17,53940,54440,53450,54440,54440,213390
2014-07-18,54440,54940,53450,54440,54440,331590
2014-07-21,54440,56410,54440,55920,55920,635080
2014-07-22,55430,55920,54940,55920,55920,138210
2014-07-23,55920,55920,54940,55920,55920,110210
2014-07-24,55920,56410,55430,56410,56410,342860
2014-07-25,56910,57400,56410,56410,56410,309050
2014-07-28,56410,56410,54940,54940,54940,251480
2014-07-29,54940,54940,53940,54940,54940,175610
2014-07-30,54940,55430,54440,54940,54940,234950
2014-07-31,54440,55920,54440,55920,55920,324370
2014-08-01,55430,55920,54940,54940,54940,187550
2014-08-04,54940,56410,54440,55430,55430,343060
2014-08-05,55920,58400,55430,57900,57900,697740
2014-08-06,57900,58400,57400,57400,57400,328170
2014-08-07,56910,57900,56910,57400,57400,224470
2014-08-08,57900,58400,57400,57400,57400,452320
2014-08-11,56910,57900,56410,57400,57400,120980
2014-08-12,56910,57400,56410,56910,56910,227260
2014-08-13,56910,56910,55920,55920,55920,459470
2014-08-14,56410,56910,55920,55920,55920,216710
2014-08-15,56410,56910,55920,56410,56410,166170
2014-08-18,56410,56910,55920,56410,56410,334370
2014-08-19,56910,57900,56410,56910,56910,450670
2014-08-20,57400,57400,56410,57400,57400,283430
2014-08-21,57900,59390,57900,58400,58400,1012490
2014-08-22,58890,60870,58890,60370,60370,619580
2014-08-25,60370,62360,60370,61360,61360,422060
2014-08-26,60870,61360,59890,60870,60870,410940
2014-08-27,60870,61360,59890,60870,60870,223360
2014-08-28,60370,63350,60370,62360,62360,427920
2014-08-29,62850,63350,61360,61360,61360,459860
2014-09-03,61850,62360,61360,61850,61850,326560
2014-09-04,61850,62360,61360,61850,61850,266790
2014-09-05,61850,61850,60870,60870,60870,232450
2014-09-08,61360,61360,60370,60870,60870,227340
2014-09-09,60870,61360,58890,59390,59390,353170
2014-09-10,59390,59890,58400,59890,59890,116600
2014-09-11,59890,61360,59390,59890,59890,214430
2014-09-12,59890,60370,59390,59890,59890,147190
2014-09-15,59890,61360,59890,59890,59890,290250
2014-09-16,59390,60370,59390,59390,59390,293900
2014-09-17,59390,60370,58890,58890,58890,288040
2014-09-18,58890,59390,56410,56410,56410,464470
2014-09-19,56910,57400,55920,56910,56910,389580
2014-09-22,57400,57910,56410,56410,56410,175780
2014-09-23,56410,56410,54420,54420,54420,379770
2014-09-24,54420,54910,52420,52420,52420,899110
2014-09-25,52420,53420,51430,53420,53420,834240
2014-09-26,53920,54420,53420,53920,53920,422410
2014-09-29,53920,54420,53420,53420,53420,260550
2014-09-30,52920,53420,51930,52920,52920,473980
2014-10-01,53420,54910,53420,54420,54420,561920
2014-10-02,54910,55410,53920,53920,53920,523820
2014-10-03,54420,54420,52920,52920,52920,317020
2014-10-06,52920,53920,52920,52920,52920,268300
2014-10-07,52920,54420,52920,53420,53420,260790
2014-10-08,53920,54420,53420,54420,54420,346960
2014-10-09,55410,57910,55410,57910,57910,1053420
2014-10-10,57910,59410,56410,56410,56410,426340
2014-10-13,55910,56410,53920,55410,55410,707080
2014-10-14,55410,55910,54420,54420,54420,238800
2014-10-15,53920,54910,52420,53920,53920,494960
2014-10-16,53920,53920,50420,51430,51430,1095120
2014-10-17,50920,52420,49670,49920,49920,1195380
2014-10-20,50920,51930,50920,50920,50920,316670
2014-10-21,51430,54420,50920,54420,54420,831910
2014-10-22,53920,54420,53420,53920,53920,243570
2014-10-23,53420,53920,52420,52420,52420,346850
2014-10-24,52420,53420,51430,51930,51930,362550
2014-10-27,51930,52420,50920,51930,51930,262960
2014-10-28,51430,51930,50920,51930,51930,179010
2014-10-29,52420,53420,52420,52920,52920,138430
2014-10-30,52920,53420,51930,51930,51930,241090
2014-10-31,52420,52920,51430,52920,52920,437850
2014-11-03,52920,53420,52420,52420,52420,246170
2014-11-04,52420,52920,51930,51930,51930,213660
2014-11-05,52420,52920,51430,51930,51930,160910
2014-11-06,52420,52420,51930,51930,51930,227150
2014-11-07,51930,52420,51430,52420,52420,138310
2014-11-10,52920,52920,51930,51930,51930,333020
2014-11-11,52420,54420,51930,53420,53420,731610
2014-11-12,53420,53420,52420,52920,52920,282280
2014-11-13,52920,53420,52420,52920,52920,290900
2014-11-14,52420,52920,51930,51930,51930,284120
2014-11-17,52420,52920,51930,51930,51930,161090
2014-11-18,51930,52420,51430,51430,51430,148510
2014-11-19,51430,51930,50420,50420,50420,476190
2014-11-20,50920,51430,50420,50920,50920,262890
2014-11-21,51430,51430,49670,49670,49670,368980
2014-11-24,49420,49670,48680,49420,49420,289970
2014-11-25,49420,50420,49180,49180,49180,274560
2014-11-26,49670,49670,46430,46930,46930,923580
2014-11-27,46930,46930,44680,45430,45430,768630
2014-11-28,44430,44680,42430,42930,42930,1153940
2014-12-01,42430,43430,41930,42430,42430,980190
2014-12-02,43430,43430,42690,42930,42930,392080
2014-12-03,43180,43940,43180,43680,43680,310010
2014-12-04,43940,44680,43680,43680,43680,568110
2014-12-05,43430,43940,43180,43180,43180,343130
2014-12-08,42930,42930,40430,40430,40430,873510
2014-12-09,38930,39190,37690,37690,37690,1175330
2014-12-10,35950,37690,35190,36950,36950,1491890
2014-12-11,35190,36690,35190,35450,35450,749110
2014-12-12,34450,35950,34450,35450,35450,657090
2014-12-15,35450,36200,35190,35190,35190,495490
2014-12-16,34680,34680,32900,32900,32900,1355250
2014-12-17,33140,33410,30600,31610,31610,944140
2014-12-18,32640,33660,32390,33660,33660,569060
2014-12-19,33920,35190,33410,34680,34680,886770
2014-12-22,34930,36970,34930,36720,36720,861030
2014-12-23,35700,36720,35190,35700,35700,534700
2014-12-24,36460,36460,35700,36200,36200,201710
2014-12-25,35700,35960,34680,34680,34680,298940
2014-12-26,34680,36720,34680,35960,35960,511400
2014-12-29,35960,36460,34930,35700,35700,138310
2014-12-30,35190,35700,34430,35700,35700,235540
2014-12-31,35700,36200,35450,35960,35960,216920
2015-01-05,35700,35960,34930,35190,35190,319840
2015-01-06,34170,34930,34170,34680,34680,345050
2015-01-07,34170,35450,34170,35190,35190,509250
2015-01-08,35700,35960,35450,35450,35450,290220
2015-01-09,35700,37740,35700,37740,37740,859620
2015-01-12,40290,40290,40290,40290,40290,671210
2015-01-13,39780,41820,39780,41050,41050,1270070
2015-01-14,40290,40550,39010,39520,39520,705280
2015-01-15,39780,40290,39280,40030,40030,403100
2015-01-16,39780,40290,39280,39520,39520,334230
2015-01-19,39520,40030,38760,39010,39010,258660
2015-01-20,39280,39780,39010,39520,39520,456860
2015-01-21,39520,39780,39280,39520,39520,271070
2015-01-22,39520,40030,39520,40030,40030,269320
2015-01-23,40290,41310,40030,41310,41310,641740
2015-01-26,41560,41820,40810,40810,40810,327410
2015-01-27,40810,40810,40030,40550,40550,313480
2015-01-28,40810,40810,39780,40030,40030,253270
2015-01-29,39780,40030,39520,39520,39520,111790
2015-01-30,40030,40030,39280,39280,39280,268300
2015-02-02,39520,39780,39010,39010,39010,82200
2015-02-03,39520,40290,39010,39010,39010,335140
2015-02-04,39780,40290,39520,40030,40030,479230
2015-02-05,39780,40290,39520,40030,40030,268680
2015-02-06,40550,41050,40290,40550,40550,409620
