Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,4070,4070,4070,4070,4070,0
2014-04-02,4070,4070,4070,4070,4070,0
2014-04-03,4140,4350,4030,4100,4100,116400
2014-04-04,4100,4250,4070,4150,4150,141390
2014-04-07,3950,4350,3950,4070,4070,57620
2014-04-08,3970,4140,3970,4030,4030,23630
2014-04-10,4140,4250,4030,4030,4030,45240
2014-04-11,3870,4140,3850,4050,4050,28420
2014-04-14,4150,4210,3950,3950,3950,120140
2014-04-15,3850,4100,3800,4070,4070,58960
2014-04-16,4140,4140,3800,4000,4000,126240
2014-04-17,3750,4070,3750,3970,3970,45760
2014-04-18,4050,4050,3850,3950,3950,33520
2014-04-21,3700,4000,3680,3900,3900,52980
2014-04-22,4140,4140,3750,3930,3930,65940
2014-04-23,3700,4000,3700,3950,3950,30390
2014-04-24,4000,4000,3700,3950,3950,41870
2014-04-25,3950,4030,3900,3970,3970,21810
2014-04-28,4030,4030,3950,3950,3950,9170
2014-04-29,3950,3950,3750,3950,3950,22140
2014-05-05,3750,3950,3730,3870,3870,34260
2014-05-06,3900,3900,3680,3850,3850,75100
2014-05-07,3650,3900,3650,3870,3870,37560
2014-05-08,3870,3900,3630,3770,3770,72440
2014-05-09,3750,3770,3700,3770,3770,35520
2014-05-12,3550,3750,3530,3530,3530,56360
2014-05-13,3500,3730,3480,3730,3730,163840
2014-05-14,3630,3830,3630,3830,3830,73630
2014-05-15,3930,3930,3650,3800,3800,43240
2014-05-16,3770,3950,3730,3830,3830,43680
2014-05-19,3870,3870,3650,3850,3850,29170
2014-05-20,3930,3930,3770,3850,3850,20560
2014-05-21,3970,3970,3680,3870,3870,29230
2014-05-22,3870,3930,3770,3930,3930,33620
2014-05-23,4100,4100,3830,4030,4030,27110
2014-05-26,4030,4180,4030,4070,4070,33460
2014-05-27,4140,4140,4050,4100,4100,28410
2014-05-28,4100,4150,4070,4070,4070,34000
2014-05-29,4230,4230,4000,4150,4150,14920
2014-05-30,4210,4210,4140,4180,4180,13450
2014-06-02,4180,4180,4030,4150,4150,59920
2014-06-03,4150,4250,4150,4150,4150,51730
2014-06-04,4150,4210,4030,4140,4140,43030
2014-06-05,4180,4180,3930,4150,4150,43110
2014-06-06,4230,4230,3950,4180,4180,35570
2014-06-09,4180,4180,4000,4150,4150,32420
2014-06-10,4140,4150,4140,4140,4140,16300
2014-06-11,4150,4150,4050,4100,4100,20540
2014-06-12,4100,4100,3970,4000,4000,35210
2014-06-13,4100,4140,3930,4000,4000,37090
2014-06-16,4070,4100,3970,4070,4070,29380
2014-06-17,4140,4140,4000,4140,4140,26330
2014-06-18,4140,4150,4000,4100,4100,28490
