Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,50040,50040,48500,49010,49010,177440
2014-04-02,48760,49530,47210,47990,47990,291400
2014-04-03,48500,48760,47990,48240,48240,119190
2014-04-04,48500,48760,48240,48240,48240,115290
2014-04-07,48240,48760,48240,48760,48760,143610
2014-04-08,48760,50040,48760,49530,49530,173460
2014-04-10,50040,50300,49270,50040,50040,203600
2014-04-11,49780,52620,49010,50560,50560,496530
2014-04-14,51070,51070,49530,49530,49530,103120
2014-04-15,50040,50560,49530,49780,49780,365880
2014-04-16,49530,49780,47990,48760,48760,238480
2014-04-17,49010,49780,48760,49270,49270,93950
2014-04-18,49530,49530,46180,46180,46180,40870
2014-04-21,46180,47470,46180,46440,46440,90030
2014-04-22,46950,47730,46440,47730,47730,95800
2014-04-23,47470,49270,47470,49010,49010,132800
2014-04-24,49010,49270,48500,49270,49270,71400
2014-04-25,49270,49780,48760,49780,49780,320620
2014-04-28,49780,50040,48240,48240,48240,81830
2014-04-29,47990,49530,47990,49530,49530,27710
2014-05-05,48760,49530,46950,46950,46950,128110
2014-05-06,46950,47470,46700,47210,47210,174370
2014-05-07,47470,48760,47470,48240,48240,135570
2014-05-08,47990,48500,44890,44890,44890,222570
2014-05-09,43860,46440,43860,46440,46440,367480
2014-05-12,44890,46950,44630,46950,46950,220620
2014-05-13,46440,46950,45920,46440,46440,117030
2014-05-14,45410,46950,45410,46700,46700,145790
2014-05-15,46950,47730,45920,47210,47210,422850
2014-05-16,47470,47470,46950,47210,47210,28060
2014-05-19,47730,47730,46700,47730,47730,88040
2014-05-20,47730,47990,47210,47470,47470,41760
2014-05-21,47730,47730,46700,46700,46700,137550
2014-05-22,46440,46950,46180,46180,46180,132040
2014-05-23,46440,46700,46180,46180,46180,55720
2014-05-26,46440,46950,46180,46950,46950,76030
2014-05-27,46440,47730,46440,47730,47730,89880
2014-05-28,47990,49010,47730,49010,49010,150680
2014-05-29,49010,50300,49010,50040,50040,280950
2014-05-30,50560,51070,50300,50820,50820,755110
