Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,2660,2660,2660,2660,2660,600
2014-04-02,2590,2590,2480,2480,2480,630
2014-04-03,2390,2390,2390,2390,2390,200
2014-04-04,2290,2480,2220,2480,2480,5460
2014-04-07,2570,2570,2320,2320,2320,740
2014-04-08,2260,2370,2180,2370,2370,13750
2014-04-10,2480,2480,2480,2480,2480,500
2014-04-11,2480,2480,2480,2480,2480,0
2014-04-14,2480,2550,2320,2530,2530,4340
2014-04-15,2390,2390,2370,2390,2390,3820
2014-04-16,2390,2390,2390,2390,2390,30
2014-04-17,2480,2480,2220,2450,2450,1070
2014-04-18,2290,2430,2290,2290,2290,5610
2014-04-21,2160,2390,2160,2390,2390,1010
2014-04-22,2430,2430,2430,2430,2430,20
2014-04-23,2510,2510,2370,2370,2370,1100
2014-04-24,2370,2370,2370,2370,2370,0
2014-04-25,2430,2430,2240,2240,2240,2010
2014-04-28,2320,2320,2320,2320,2320,800
2014-04-29,2320,2320,2320,2320,2320,0
2014-05-05,2320,2320,2320,2320,2320,310
2014-05-06,2180,2180,2180,2180,2180,1380
2014-05-07,2029,2240,2029,2240,2240,20
2014-05-08,2100,2320,2100,2320,2320,20
2014-05-09,2320,2320,2320,2320,2320,0
2014-05-12,2320,2320,2320,2320,2320,0
2014-05-13,2390,2390,2390,2390,2390,10
2014-05-14,2220,2430,2220,2430,2430,9640
2014-05-15,2550,2550,2550,2550,2550,1000
2014-05-16,2570,2570,2530,2570,2570,460
2014-05-19,2570,2570,2570,2570,2570,0
2014-05-20,2570,2570,2570,2570,2570,0
2014-05-21,2610,2610,2610,2610,2610,10
2014-05-22,2610,2610,2610,2610,2610,0
2014-05-23,2470,2470,2450,2470,2470,1520
2014-05-26,2590,2590,2300,2590,2590,30
2014-05-27,2470,2470,2430,2430,2430,720
2014-05-28,2430,2430,2430,2430,2430,0
2014-05-29,2260,2570,2260,2570,2570,60
2014-05-30,2480,2480,2430,2480,2480,30
2014-06-02,2570,2570,2570,2570,2570,200
2014-06-03,2610,2610,2400,2570,2570,1190
2014-06-04,2590,2590,2530,2530,2530,20
2014-06-05,2610,2610,2370,2370,2370,40
2014-06-06,2470,2470,2220,2470,2470,20
2014-06-09,2550,2550,2300,2530,2530,1240
2014-06-10,2570,2570,2370,2550,2550,30
2014-06-11,2610,2670,2390,2480,2480,270
2014-06-12,2570,2570,2320,2480,2480,560
2014-06-13,2570,2570,2470,2470,2470,210
2014-06-16,2550,2550,2320,2320,2320,1030
2014-06-17,2470,2470,2450,2450,2450,90
2014-06-18,2570,2570,2290,2480,2480,8030
2014-06-19,2470,2530,2320,2480,2480,930
2014-06-20,2320,2320,2320,2320,2320,60
2014-06-23,2400,2400,2400,2400,2400,170
2014-06-24,2240,2240,2240,2240,2240,1250
2014-06-25,2110,2370,2100,2370,2370,2030
2014-06-26,2370,2370,2370,2370,2370,20
2014-06-27,2430,2430,2430,2430,2430,200
2014-06-30,2260,2430,2260,2430,2430,2700
2014-07-01,2260,2400,2260,2400,2400,310
2014-07-02,2240,2370,2240,2370,2370,1070
2014-07-03,2220,2430,2220,2430,2430,720
2014-07-04,2260,2430,2260,2430,2430,290
2014-07-07,2370,2370,2260,2260,2260,150
2014-07-08,2260,2320,2110,2320,2320,4090
2014-07-09,2200,2300,2180,2300,2300,21130
2014-07-10,2180,2300,2180,2300,2300,2030
2014-07-11,2370,2370,2160,2160,2160,70
2014-07-14,2009,2300,2009,2240,2240,1100
2014-07-15,2320,2320,2320,2320,2320,50
2014-07-16,2320,2390,2320,2390,2390,1100
2014-07-17,2220,2370,2220,2370,2370,110
2014-07-18,2220,2260,2220,2260,2260,30
2014-07-21,2370,2370,2260,2260,2260,5010
2014-07-22,2240,2240,2130,2130,2130,9020
2014-07-23,2130,2200,2080,2180,2180,24110
2014-07-24,2130,2200,2130,2180,2180,17210
2014-07-25,2160,2180,2160,2180,2180,14120
2014-07-28,2160,2180,2080,2180,2180,28600
2014-07-29,2160,2180,2100,2180,2180,35100
2014-07-30,2180,2200,2080,2180,2180,34520
2014-07-31,2160,2160,2050,2160,2160,41620
2014-08-01,2130,2180,2110,2180,2180,41530
2014-08-04,2160,2220,2130,2220,2220,17190
2014-08-05,2220,2240,2180,2200,2200,26070
2014-08-06,2200,2260,2180,2260,2260,46900
2014-08-07,2260,2320,2220,2260,2260,38450
2014-08-08,2320,2370,2240,2370,2370,93710
2014-08-11,2290,2370,2220,2240,2240,38410
2014-08-12,2240,2370,2220,2260,2260,47070
2014-08-13,2320,2390,2240,2370,2370,65910
2014-08-14,2430,2430,2340,2430,2430,76700
2014-08-15,2450,2450,2340,2430,2430,57210
2014-08-18,2430,2530,2400,2530,2530,121250
2014-08-19,2530,2530,2450,2530,2530,97720
2014-08-20,2530,2640,2480,2570,2570,199490
2014-08-21,2550,2570,2530,2570,2570,33880
2014-08-22,2590,2690,2590,2590,2590,140
2014-08-25,2660,2660,2590,2610,2610,76030
2014-08-26,2610,2670,2610,2670,2670,101610
2014-08-27,2670,2740,2660,2740,2740,153270
2014-08-28,2690,2760,2670,2670,2670,102310
2014-08-29,2670,2800,2610,2800,2800,344440
