Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,6850,6850,6660,6770,6770,11280
2014-04-02,6850,6850,6660,6800,6800,3490
2014-04-03,7000,7270,6830,7160,7160,8140
2014-04-04,6900,7230,6880,7120,7120,4230
2014-04-07,6610,7120,6610,7120,7120,15440
2014-04-08,6880,7120,6850,7120,7120,3810
2014-04-10,7230,7440,6880,6880,6880,8700
2014-04-11,6880,7330,6830,6830,6830,10640
2014-04-14,6660,7000,6660,6800,6800,7720
2014-04-15,6880,6880,6730,6880,6880,19310
2014-04-16,6880,6900,6430,6830,6830,43660
2014-04-17,6560,6880,6560,6880,6880,5410
2014-04-18,7040,7040,6410,6880,6880,5430
2014-04-21,6430,6860,6430,6510,6510,5680
2014-04-22,6890,6940,6640,6940,6940,6410
2014-04-23,6890,6970,6890,6970,6970,3520
2014-04-24,6970,7060,6890,7060,7060,2010
2014-04-25,6790,7090,6790,7090,7090,1810
2014-04-28,6690,6690,6690,6690,6690,350
2014-04-29,6760,7140,6760,7140,7140,1040
2014-05-05,6830,7090,6660,7090,7090,1170
2014-05-06,6660,7010,6660,7010,7010,8940
2014-05-07,6890,6890,6740,6890,6890,1550
2014-05-08,6430,6790,6410,6790,6790,25480
2014-05-09,6860,6860,6410,6830,6830,1610
2014-05-12,6370,6790,6370,6790,6790,51480
2014-05-13,6790,6910,6540,6910,6910,6610
2014-05-14,6890,6890,6660,6690,6690,93290
2014-05-15,6710,6890,6690,6790,6790,5280
2014-05-16,6740,6790,6660,6790,6790,2960
2014-05-19,6790,6790,6660,6790,6790,350
2014-05-20,6660,6990,6660,6990,6990,7680
2014-05-21,6660,7010,6660,7010,7010,1110
2014-05-22,7010,7010,6940,7010,7010,1710
2014-05-23,6660,6660,6660,6660,6660,580
2014-05-26,7110,7110,7060,7090,7090,5620
2014-05-27,6890,7090,6790,7090,7090,3970
2014-05-28,7010,7060,6910,7060,7060,30590
2014-05-29,7060,7060,6890,7010,7010,1560
2014-05-30,6710,7140,6710,7140,7140,2500
2014-06-02,6810,7110,6810,7110,7110,1770
2014-06-03,6990,6990,6810,6990,6990,3820
2014-06-04,6990,6990,6990,6990,6990,210
2014-06-05,7040,7040,6990,6990,6990,1110
2014-06-06,6890,6970,6690,6970,6970,4110
2014-06-09,7010,7010,7010,7010,7010,700
2014-06-10,6910,6910,6890,6890,6890,290
2014-06-11,6890,6890,6890,6890,6890,0
2014-06-12,6990,6990,6990,6990,6990,10
2014-06-13,6890,6990,6830,6990,6990,1260
2014-06-16,6690,6970,6690,6970,6970,3630
2014-06-17,6940,7040,6940,7040,7040,8000
2014-06-18,6620,7110,6620,7110,7110,13520
2014-06-19,6790,6890,6790,6890,6890,750
2014-06-20,6890,6890,6710,6760,6760,1830
2014-06-23,6710,6940,6710,6940,6940,2610
2014-06-24,6940,6940,6790,6790,6790,20500
2014-06-25,6910,6910,6790,6860,6860,4900
2014-06-26,6810,6860,6810,6860,6860,3230
2014-06-27,6710,6860,6710,6860,6860,20
2014-06-30,7180,7180,6790,6890,6890,6150
2014-07-01,6810,6870,6790,6870,6870,16800
2014-07-02,6790,6890,6790,6810,6810,6630
2014-07-03,6890,6890,6790,6810,6810,14160
2014-07-04,6890,7110,6830,6970,6970,14560
