Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,8670,8670,8119,8350,8350,932705
2014-04-02,8210,8390,7850,8350,8350,673965
2014-04-03,8390,8490,8300,8390,8390,452541
2014-04-04,8390,8390,8210,8260,8260,294810
2014-04-07,8210,8350,8210,8350,8350,402315
2014-04-08,8630,8630,8350,8440,8440,307219
2014-04-10,8440,8580,8440,8490,8490,269200
2014-04-11,8440,8490,8300,8490,8490,260274
2014-04-14,8490,8670,8300,8300,8300,247833
2014-04-15,8210,8390,7980,8070,8070,361266
2014-04-16,8070,8119,7310,7710,7710,481650
2014-04-17,7710,7980,7710,7760,7760,216810
2014-04-18,7800,7890,7310,7310,7310,239186
2014-04-21,7350,7350,6940,6940,6940,228500
2014-04-22,7070,7210,6850,7170,7170,275530
2014-04-23,7170,7400,7170,7310,7310,318332
2014-04-24,7210,7310,7120,7260,7260,181420
2014-04-25,7260,7310,7170,7210,7210,323505
2014-04-28,7310,7310,7120,7210,7210,125700
2014-04-29,7310,7310,7170,7310,7310,288910
2014-05-05,7400,7570,7310,7310,7310,571714
2014-05-06,7310,7310,6940,7120,7120,382936
2014-05-07,7310,7310,7120,7260,7260,158200
2014-05-08,7210,7210,6570,6570,6570,1329025
2014-05-09,6570,6940,6430,6940,6940,358280
2014-05-12,6940,6940,6290,6430,6430,512000
2014-05-13,6430,6660,6290,6380,6380,369310
2014-05-14,6380,6800,6380,6800,6800,240710
2014-05-15,6800,6940,6480,6570,6570,480400
2014-05-16,6570,6850,6570,6850,6850,285500
2014-05-19,6800,6940,6710,6890,6890,297600
2014-05-20,6750,7030,6710,7030,7030,308958
2014-05-21,6800,7260,6800,7260,7260,523060
2014-05-22,7310,7310,6980,6980,6980,427827
2014-05-23,7030,7070,6850,6890,6890,278207
2014-05-26,6850,6940,6710,6890,6890,150025
2014-05-27,6800,7170,6800,7120,7120,403500
2014-05-28,7120,7310,7120,7210,7210,598426
2014-05-29,7210,7260,7070,7120,7120,316292
2014-05-30,7070,7170,6890,7070,7070,212544
2014-06-02,6980,7030,6940,6940,6940,195410
2014-06-03,6940,7030,6850,6980,6980,162227
2014-06-04,6890,6940,6800,6850,6850,260057
2014-06-05,6850,6940,6750,6940,6940,61373
2014-06-06,6850,7030,6850,7030,7030,77648
2014-06-09,7070,7120,6940,6980,6980,290500
2014-06-10,7030,7030,6890,6940,6940,188304
2014-06-11,6980,6980,6940,6980,6980,119820
2014-06-12,6980,7310,6980,7260,7260,636814
2014-06-13,7170,7260,7120,7120,7120,314185
2014-06-16,7120,7120,7030,7120,7120,93983
2014-06-17,7120,7210,7120,7210,7210,164770
2014-06-18,7260,7540,7260,7440,7440,565696
2014-06-19,7440,7660,7260,7660,7660,1145820
2014-06-20,7660,7980,7660,7850,7850,586830
2014-06-23,7850,7890,7660,7800,7800,424016
2014-06-24,7710,8210,7660,8119,8119,813757
2014-06-25,8210,8350,8070,8160,8160,603967
2014-06-26,8160,8300,8020,8160,8160,581289
2014-06-27,8119,8119,7980,8070,8070,435711
2014-06-30,8119,8260,8070,8119,8119,396543
