Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,7630,7820,7500,7670,7670,1542170
2014-04-02,7670,7770,7550,7700,7700,752860
2014-04-03,7750,7770,7670,7720,7720,619120
2014-04-04,7770,7770,7700,7720,7720,354790
2014-04-07,7670,7790,7670,7750,7750,504290
2014-04-08,7720,7770,7720,7770,7770,772700
2014-04-10,7790,7820,7700,7700,7700,870900
2014-04-11,7700,7700,7630,7650,7650,658470
2014-04-14,7650,7650,7550,7570,7570,659610
2014-04-15,7600,7600,7380,7400,7400,945980
2014-04-16,7400,7450,6910,7250,7250,799140
2014-04-17,7350,7350,7230,7250,7250,1063560
2014-04-18,7350,7350,7130,7130,7130,669860
2014-04-21,7030,7230,7030,7030,7030,555160
2014-04-22,7030,7230,7030,7150,7150,455180
2014-04-23,7200,7320,7130,7150,7150,1228250
2014-04-24,7150,7180,7100,7150,7150,495860
2014-04-25,7150,7180,7080,7150,7150,618400
2014-04-28,7030,7150,7000,7030,7030,843660
2014-04-29,7100,7130,7000,7100,7100,168700
2014-05-05,7030,7100,6660,6680,6680,613130
2014-05-06,6660,6710,6390,6540,6540,569510
2014-05-07,6660,6660,6520,6590,6590,312630
2014-05-08,6540,6540,6140,6140,6140,1770040
2014-05-09,5950,6290,5950,6270,6270,907580
2014-05-12,6170,6270,5850,5870,5870,1179560
2014-05-13,5870,5990,5800,5990,5990,764660
2014-05-14,5990,6410,5990,6410,6410,1159110
2014-05-15,6410,6560,6170,6390,6390,1470070
2014-05-16,6290,6660,6290,6660,6660,630360
2014-05-19,6680,6760,6560,6760,6760,574880
2014-05-20,6660,6760,6540,6740,6740,280870
2014-05-21,6760,6760,6640,6710,6710,289340
2014-05-22,6710,6740,6660,6660,6660,463230
2014-05-23,6660,6660,6490,6490,6490,493560
2014-05-26,6560,6740,6490,6740,6740,319920
2014-05-27,6740,7030,6710,7030,7030,482210
2014-05-28,7030,7180,7030,7130,7130,849320
2014-05-29,7150,7200,7000,7060,7060,360170
2014-05-30,7060,7150,7000,7150,7150,397450
2014-06-02,7180,7180,7000,7150,7150,306000
2014-06-03,7150,7150,7100,7130,7130,229670
2014-06-04,7060,7100,6980,7030,7030,68300
2014-06-05,6910,7000,6880,6880,6880,208520
2014-06-06,7030,7150,6980,7100,7100,331530
2014-06-09,7150,7180,7080,7100,7100,373710
2014-06-10,7130,7150,7060,7060,7060,304310
2014-06-11,7100,7180,7080,7180,7180,329650
2014-06-12,7280,7500,7250,7350,7350,535340
2014-06-13,7420,7450,7380,7420,7420,286880
2014-06-16,7380,7380,7280,7380,7380,692070
2014-06-17,7350,7400,7320,7400,7400,513190
2014-06-18,7730,7810,7640,7700,7700,1258160
2014-06-19,7640,7670,7460,7580,7580,472560
