Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,20639,20639,20218,20359,20359,398500
2014-04-02,20359,20499,19937,20359,20359,836130
2014-04-03,20499,20780,20499,20639,20639,142310
2014-04-04,20639,20780,20499,20639,20639,825720
2014-04-07,20639,20780,20499,20499,20499,816100
2014-04-08,20359,20499,19937,19937,19937,875040
2014-04-10,20218,20359,19657,19797,19797,1327050
2014-04-11,19516,19657,19235,19376,19376,494540
2014-04-14,19376,19376,18955,19235,19235,766980
2014-04-15,19095,19516,18955,19095,19095,656970
2014-04-16,18955,19095,18393,18533,18533,858690
2014-04-17,18674,18955,18533,18674,18674,872910
2014-04-18,18674,18674,18112,18253,18253,654850
2014-04-21,18253,18393,17972,18112,18112,385040
2014-04-22,17972,18533,17972,18533,18533,898000
2014-04-23,18674,19095,18533,18814,18814,779980
2014-04-24,18814,18955,18674,18814,18814,319690
2014-04-25,18674,18955,18674,18814,18814,642550
2014-04-28,18814,18814,18253,18393,18393,452850
2014-04-29,18393,18674,18112,18253,18253,588810
2014-05-05,18253,18253,17972,17972,17972,768250
2014-05-06,17551,17831,17410,17831,17831,877520
2014-05-07,17551,18253,17551,18112,18112,391550
2014-05-08,17691,17691,16989,17551,17551,1477880
2014-05-09,17410,17972,17410,17972,17972,609100
2014-05-12,17831,17831,16989,17551,17551,475820
2014-05-13,17129,17551,17129,17551,17551,193560
2014-05-14,17410,18253,17410,18112,18112,360580
2014-05-15,18112,18393,17691,18112,18112,251360
2014-05-16,17831,18393,17831,18253,18253,138200
2014-05-19,18533,18814,18393,18814,18814,651700
2014-05-20,18533,18814,18253,18674,18674,74920
2014-05-21,18814,18955,18533,18814,18814,510090
2014-05-22,18814,18955,18533,18533,18533,283130
2014-05-23,18674,18814,18533,18674,18674,188440
2014-05-26,18674,18955,18533,18814,18814,336430
2014-05-27,18814,18814,18674,18814,18814,151300
2014-05-28,18814,18814,18533,18674,18674,139920
2014-05-29,18674,18955,18674,18814,18814,227100
2014-05-30,18814,19235,18533,19235,19235,455870
2014-06-02,19095,19095,18814,18955,18955,206710
2014-06-03,18955,18955,18814,18814,18814,148340
2014-06-04,18814,18814,17972,18112,18112,107760
2014-06-05,18112,18393,17831,18253,18253,94140
2014-06-06,18253,18393,18253,18253,18253,107290
2014-06-09,18393,18533,18253,18533,18533,112650
2014-06-10,18533,18533,18253,18393,18393,178030
2014-06-11,18393,18533,18393,18393,18393,87450
2014-06-12,18393,18533,18253,18253,18253,158980
2014-06-13,18253,18393,18112,18112,18112,154110
2014-06-16,18112,18253,18112,18253,18253,128740
2014-06-17,18112,18253,17972,18112,18112,137500
2014-06-18,18112,18253,17972,18253,18253,195090
2014-06-19,18112,18112,17831,17831,17831,224650
2014-06-20,17972,18253,17551,17551,17551,1200250
2014-06-23,17831,17972,17691,17831,17831,289800
2014-06-24,17831,17972,17691,17831,17831,289340
2014-06-25,17831,18112,17831,18112,18112,277900
2014-06-26,18112,18253,17972,18112,18112,165720
2014-06-27,18112,18112,17831,17831,17831,75660
2014-06-30,17831,17972,17691,17972,17972,213360
2014-07-01,17972,18253,17972,18112,18112,183330
2014-07-02,18112,18253,17972,18112,18112,47370
2014-07-03,18253,18393,18112,18393,18393,198570
2014-07-04,18393,18674,18253,18674,18674,271870
2014-07-07,19937,19937,19937,19937,19937,662250
2014-07-08,21061,21061,19937,20078,20078,1315750
2014-07-09,20078,20218,19937,19937,19937,307680
2014-07-10,19937,19937,19376,19516,19516,289160
2014-07-11,19376,19657,19376,19516,19516,446060
2014-07-14,19657,19797,19376,19516,19516,274390
2014-07-15,19516,19797,19516,19657,19657,323760
2014-07-16,19797,19797,19516,19657,19657,405580
2014-07-17,19657,19657,19376,19376,19376,256930
2014-07-18,19376,19937,19376,19657,19657,781080
2014-07-21,19937,20218,19657,19797,19797,756480
2014-07-22,19797,19937,19657,19657,19657,218190
2014-07-23,19657,19797,19657,19657,19657,149720
2014-07-24,19657,19937,19516,19797,19797,730540
2014-07-25,19937,20780,19797,20499,20499,1328790
2014-07-28,20499,20499,20218,20218,20218,509880
2014-07-29,20499,20499,20078,20499,20499,397580
2014-07-30,20499,20639,20359,20499,20499,331720
2014-07-31,20499,20920,20359,20780,20780,803780
2014-08-01,20780,21342,20639,21201,21201,638690
2014-08-04,21201,22044,21201,21903,21903,979240
2014-08-05,21903,21903,21482,21622,21622,1891980
2014-08-06,21767,22631,21478,22343,22343,1804610
2014-08-07,22055,22343,22055,22199,22199,629310
2014-08-08,21911,22199,21767,21911,21911,871560
2014-08-11,21767,21911,21622,21911,21911,624140
2014-08-12,21911,22631,21911,22631,22631,1732400
2014-08-13,22343,22631,22199,22487,22487,1657240
2014-08-14,22631,22776,22199,22631,22631,1829170
2014-08-15,22776,22920,22343,22343,22343,2248120
2014-08-18,22487,22776,22343,22487,22487,615090
2014-08-19,22631,22776,22343,22487,22487,704120
2014-08-20,22487,22631,22199,22199,22199,770600
2014-08-21,22343,22487,21911,22343,22343,1112210
2014-08-22,22343,23064,22343,22776,22776,1635580
2014-08-25,23064,23352,22920,23208,23208,1655160
2014-08-26,24712,24712,24497,24712,24712,717890
2014-08-27,25357,25787,24712,24712,24712,3137220
2014-08-28,24712,24712,23853,24068,24068,3366640
2014-08-29,24497,25572,23853,25142,25142,3117820
2014-09-03,25142,25357,24712,24927,24927,3399560
2014-09-04,24712,24927,24497,24712,24712,2269860
2014-09-05,24712,24712,23853,23853,23853,5229900
2014-09-08,24068,24712,24068,24282,24282,1466720
2014-09-09,24282,24282,23423,23853,23853,1881730
2014-09-10,23638,24068,23208,23638,23638,3656420
2014-09-11,23638,24068,23423,23423,23423,2160590
2014-09-12,23638,24068,23638,23853,23853,1671630
2014-09-15,23853,24068,23423,23423,23423,1576130
2014-09-16,23423,23423,22778,23423,23423,2744360
2014-09-17,23638,23638,22993,23423,23423,1987090
2014-09-18,23423,23423,22993,23423,23423,1683380
2014-09-19,23208,23853,22993,23423,23423,3504070
2014-09-22,23638,23853,23423,23423,23423,750170
2014-09-23,23423,24068,23423,24068,24068,1498020
2014-09-24,24068,24068,23638,23853,23853,1182150
2014-09-25,23208,23208,22348,22348,22348,7753290
2014-09-26,22348,22778,22134,22134,22134,2115680
2014-09-29,21919,21919,20715,20844,20844,2850510
2014-09-30,20457,20887,19684,20629,20629,4871710
2014-10-01,20629,21274,20629,21274,21274,1688520
2014-10-02,21274,21274,20887,21059,21059,2455680
2014-10-03,20887,22134,20758,21489,21489,4304000
2014-10-06,21919,22348,21704,21919,21919,1352160
2014-10-07,22134,22134,21704,21704,21704,1531200
2014-10-08,21489,21919,21446,21446,21446,1628530
2014-10-09,21489,21704,20973,21016,21016,3946480
2014-10-10,20973,21360,20801,20887,20887,1715080
2014-10-13,20887,21231,20887,20973,20973,1207120
2014-10-14,20973,21059,20672,20672,20672,2095390
2014-10-15,20629,20672,20328,20500,20500,1838510
2014-10-16,20371,20500,19770,19985,19985,2950030
2014-10-17,19856,20157,19641,19899,19899,2491500
2014-10-20,20028,20629,19942,20199,20199,1219710
2014-10-21,20328,21016,20285,21016,21016,2846410
2014-10-22,21059,21231,20629,20629,20629,2071480
2014-10-23,20500,20715,20328,20328,20328,1575350
2014-10-24,20328,20586,20242,20500,20500,740530
2014-10-27,20328,20543,20071,20157,20157,1231950
2014-10-28,20114,20285,20071,20114,20114,912980
2014-10-29,20285,20500,20157,20500,20500,1124220
2014-10-30,20543,20629,20414,20457,20457,772160
2014-10-31,20457,20629,20242,20629,20629,970860
2014-11-03,20844,21231,20801,21145,21145,2671730
2014-11-04,20973,21145,20801,20844,20844,1086740
2014-11-05,20844,20930,20586,20844,20844,751310
2014-11-06,20887,20887,20629,20672,20672,747280
2014-11-07,20672,20758,20586,20758,20758,567090
2014-11-10,20758,21145,20758,20930,20930,1522760
2014-11-11,20930,20973,20801,20887,20887,761240
2014-11-12,20887,21059,20887,20973,20973,1106560
2014-11-13,20973,21102,20887,20973,20973,934660
2014-11-14,20973,21274,20844,21231,21231,2765430
2014-11-17,21274,21446,21231,21317,21317,1164180
2014-11-18,21188,21231,20844,20844,20844,1353050
2014-11-19,20758,20887,20715,20801,20801,884820
2014-11-20,20844,20973,20715,20715,20715,835340
2014-11-21,20715,20801,20586,20629,20629,948120
2014-11-24,20629,20887,20414,20629,20629,781250
2014-11-25,20758,21188,20715,21188,21188,1661680
2014-11-26,21274,21274,20801,20801,20801,1543650
2014-11-27,20844,20844,20629,20715,20715,360070
2014-11-28,20844,21102,20758,20758,20758,1001310
2014-12-01,20758,21059,20758,20887,20887,403800
2014-12-02,21016,21016,20844,20844,20844,868170
2014-12-03,20844,20887,20715,20758,20758,1457650
2014-12-04,20801,20930,20758,20801,20801,516730
2014-12-05,20801,21016,20801,20930,20930,890450
2014-12-08,20973,21102,20801,21016,21016,985520
2014-12-09,20930,20973,20371,20543,20543,1396920
2014-12-10,20414,21016,20414,20930,20930,765320
2014-12-11,20629,21059,20629,20715,20715,1202410
2014-12-12,20672,20844,20672,20715,20715,672740
2014-12-15,20715,20758,20629,20672,20672,412390
2014-12-16,20629,20629,20157,20199,20199,1232870
2014-12-17,20199,20285,18910,19340,19340,2256690
2014-12-18,19641,20285,19383,20242,20242,1089700
2014-12-19,20114,20457,20028,20199,20199,3336130
2014-12-22,20371,20371,20199,20199,20199,835050
2014-12-23,20199,20285,19942,19985,19985,196630
2014-12-24,20157,20157,19985,20071,20071,110740
2014-12-25,20114,20114,19727,19727,19727,165880
2014-12-26,19727,20157,19512,20028,20028,824220
2014-12-29,19813,20242,19813,20157,20157,446970
2014-12-30,20285,20414,20199,20414,20414,1029140
2014-12-31,20457,20629,20371,20500,20500,334990
2015-01-05,20500,20500,20328,20457,20457,320790
2015-01-06,20371,20543,20328,20543,20543,462360
2015-01-07,20543,20629,20414,20500,20500,319600
2015-01-08,20500,20801,20500,20629,20629,788420
2015-01-09,20629,20887,20543,20543,20543,969330
2015-01-12,20543,20715,20328,20328,20328,472380
2015-01-13,20285,20457,20157,20242,20242,784490
2015-01-14,20371,20371,20199,20242,20242,585600
2015-01-15,20242,20414,20114,20371,20371,826580
2015-01-16,20371,20371,20199,20328,20328,275570
2015-01-19,20328,20586,20285,20328,20328,407620
2015-01-20,20371,20457,20242,20242,20242,316350
2015-01-21,20242,20371,20242,20242,20242,227060
2015-01-22,20371,20371,20242,20242,20242,204950
2015-01-23,20371,20629,20328,20629,20629,770380
2015-01-26,20844,21016,20629,20715,20715,241650
2015-01-27,20715,20758,20371,20629,20629,517330
2015-01-28,20457,20629,20414,20457,20457,323250
2015-01-29,20414,20543,20371,20457,20457,185770
2015-01-30,20500,20801,20457,20629,20629,938950
2015-02-02,20629,20672,20500,20500,20500,408830
2015-02-03,20500,20543,20157,20157,20157,304890
2015-02-04,20328,20328,19985,20157,20157,754650
2015-02-05,20071,20199,20071,20114,20114,264080
2015-02-06,20199,20285,20114,20157,20157,160630
2015-02-09,20157,20414,20157,20328,20328,437370
2015-02-10,20414,20500,20285,20285,20285,362290
2015-02-11,20371,20844,20285,20844,20844,894030
2015-02-12,21016,21489,20973,21489,21489,2221520
2015-02-13,21489,22134,21489,21704,21704,1455720
2015-02-24,21919,22134,21489,22134,22134,906580
2015-02-25,21919,22134,21489,21489,21489,756990
2015-02-26,21489,21704,21145,21446,21446,1158830
2015-02-27,21489,21489,21274,21274,21274,538120
2015-03-02,21317,21489,21274,21446,21446,788530
2015-03-03,21446,22563,21446,22348,22348,2373010
2015-03-04,22134,22348,21919,22134,22134,816360
2015-03-05,21919,22134,21704,21919,21919,845730
2015-03-06,21489,21919,21446,21446,21446,1493200
2015-03-09,21446,21704,21317,21360,21360,661550
2015-03-10,21274,21446,21231,21360,21360,895980
2015-03-11,21360,21360,21145,21188,21188,844110
2015-03-12,21188,21446,21188,21317,21317,814790
2015-03-13,21317,21446,21274,21317,21317,529480
2015-03-16,21274,21317,21016,21145,21145,1155790
2015-03-17,21188,21231,21102,21188,21188,332570
2015-03-18,21188,21231,21145,21188,21188,709890
2015-03-19,21231,21274,20973,21102,21102,787290
2015-03-20,21102,21145,20887,20887,20887,1952070
2015-03-23,20887,21102,20715,20758,20758,709040
2015-03-24,20758,20801,20672,20758,20758,1057820
2015-03-25,20758,20801,20672,20715,20715,637570
2015-03-26,20629,20715,20414,20414,20414,581580
2015-03-27,20758,20758,20199,20242,20242,1097010
2015-03-30,20285,20328,20028,20028,20028,934790
2015-03-31,20028,20242,20028,20199,20199,710820
2015-04-01,20199,20199,19770,19770,19770,482240
2015-04-02,19942,19942,19727,19899,19899,444740
2015-04-03,19899,19899,19813,19813,19813,311650
2015-04-06,19813,19856,19727,19727,19727,455810
2015-04-07,19727,19856,19641,19856,19856,672070
2015-04-08,19856,19899,19770,19770,19770,611130
2015-04-09,19770,20028,19770,19813,19813,639520
2015-04-10,19899,20586,19899,20414,20414,1224360
2015-04-13,20457,20930,20457,20887,20887,1697520
2015-04-14,20930,20930,20457,20457,20457,426570
2015-04-15,20543,20586,20242,20414,20414,443980
2015-04-16,20414,20801,20414,20672,20672,601670
2015-04-17,20715,21231,20672,20973,20973,1078340
2015-04-20,20887,21059,20844,20887,20887,936960
2015-04-21,20887,21016,20801,20844,20844,591750
2015-04-22,20973,20973,20844,20887,20887,625130
2015-04-23,20973,21059,20844,20973,20973,584810
2015-04-24,20973,21059,20930,20973,20973,287890
2015-04-27,21059,21059,20887,20887,20887,242300
2015-05-04,19426,20930,19426,20672,20672,1448720
2015-05-05,20672,20973,20629,20973,20973,762350
2015-05-06,20973,20973,20629,20672,20672,186040
2015-05-07,20672,20887,20629,20887,20887,262900
2015-05-08,20887,20887,20758,20758,20758,70990
2015-05-11,20844,20844,20629,20629,20629,309660
2015-05-12,20715,20715,20199,20414,20414,618510
2015-05-13,20414,20457,20114,20414,20414,555300
2015-05-14,20414,20457,20328,20371,20371,83130
2015-05-15,20371,20500,20199,20199,20199,458130
2015-05-18,20199,20242,19899,19899,19899,1655740
2015-05-19,20028,20071,19899,20028,20028,552310
2015-05-20,20028,20457,20028,20242,20242,617150
2015-05-21,20199,20414,20157,20285,20285,387320
2015-05-22,20242,20844,20157,20844,20844,1058290
2015-05-25,20758,20758,20500,20715,20715,334190
2015-05-26,20672,20973,20672,20758,20758,623860
2015-05-27,20844,20930,20672,20672,20672,712170
2015-05-28,20629,20715,20543,20543,20543,623820
2015-05-29,20543,20672,20414,20414,20414,618530
2015-06-01,20672,21145,20629,20930,20930,1238300
2015-06-02,20973,21016,20672,20672,20672,418090
2015-06-03,20629,20887,20629,20758,20758,766250
2015-06-04,20844,21059,20844,20973,20973,1277590
2015-06-05,20973,21145,20887,20973,20973,626020
2015-06-08,20973,21274,20973,21059,21059,593240
2015-06-09,21145,21188,21016,21059,21059,446220
2015-06-10,21059,21102,20844,20887,20887,476610
2015-06-11,20887,21145,20887,21145,21145,528030
2015-06-12,21231,22348,21188,22348,22348,2997570
2015-06-15,22348,22348,21489,21704,21704,850000
2015-06-16,21704,21919,21446,21704,21704,739750
2015-06-17,21704,22134,21403,21704,21704,653080
2015-06-18,21704,21919,21704,21704,21704,683660
2015-06-19,21919,22134,21704,21919,21919,944200
2015-06-22,22134,22348,21919,22134,22134,532730
2015-06-23,22134,22563,21919,22348,22348,1356440
2015-06-24,22134,22563,22134,22563,22563,780150
2015-06-25,22348,22778,22134,22563,22563,1089400
2015-06-26,22348,22563,22348,22348,22348,1026800
2015-06-29,22726,23374,22726,23050,23050,1764630
2015-06-30,22942,23860,22942,23482,23482,3429780
2015-07-01,23752,23752,23212,23428,23428,797910
2015-07-02,23590,23698,23482,23698,23698,1117760
2015-07-03,23968,24238,23914,24076,24076,1937740
2015-07-06,24292,24346,23752,24076,24076,1602770
2015-07-07,23968,24130,23806,23860,23860,2060130
2015-07-08,23806,23806,23320,23482,23482,1648750
2015-07-09,23212,24076,23104,23752,23752,1664850
2015-07-10,23914,24076,23752,23914,23914,1334490
2015-07-13,23914,23914,23752,23806,23806,1259500
2015-07-14,23590,23806,23590,23752,23752,642340
2015-07-15,23860,23860,23374,23482,23482,1452980
2015-07-16,23212,23374,23050,23104,23104,940730
2015-07-17,23212,23266,22942,23050,23050,770060
2015-07-20,23050,23374,22888,22996,22996,763460
2015-07-21,22942,23374,22942,23212,23212,575410
2015-07-22,23374,24076,23266,24022,24022,1978850
2015-07-23,24022,24292,23806,23806,23806,1096080
2015-07-24,23968,23968,23536,23644,23644,752000
2015-07-27,23752,23914,23590,23752,23752,1634930
2015-07-28,23860,24238,23644,23644,23644,2556060
2015-07-29,23752,23806,23266,23320,23320,1177900
2015-07-30,23320,23428,23158,23266,23266,729400
2015-07-31,23158,23428,23050,23266,23266,1367150
2015-08-03,23050,23428,22996,23266,23266,1810730
2015-08-04,23104,23266,23050,23212,23212,710800
2015-08-05,23266,23320,23104,23320,23320,494710
2015-08-06,23212,23320,23050,23212,23212,490170
2015-08-07,23266,23266,23158,23212,23212,318890
