Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,36690,36690,36180,36420,36420,181570
2014-04-02,36420,36690,36180,36420,36420,209510
2014-04-03,36420,37470,36420,37220,37220,277300
2014-04-04,37220,37470,36950,37470,37470,359580
2014-04-07,38510,38780,37990,38250,38250,761320
2014-04-08,38250,38510,37990,37990,37990,284200
2014-04-10,37990,38250,37220,37220,37220,415430
2014-04-11,36950,37470,36690,36950,36950,200970
2014-04-14,36950,37220,36690,36690,36690,376180
2014-04-15,36690,36950,36180,36420,36420,343490
2014-04-16,36420,36690,35930,36420,36420,267480
2014-04-17,36420,36690,36180,36420,36420,197770
2014-04-18,36420,36420,35930,36180,36180,252270
2014-04-21,36180,36180,35930,35930,35930,254000
2014-04-22,36180,36180,35670,36180,36180,160270
2014-04-23,36180,36180,35930,35930,35930,73720
2014-04-24,35930,36180,35670,35930,35930,148570
2014-04-25,36180,36690,35930,36420,36420,162140
2014-04-28,36180,36180,35930,35930,35930,157990
2014-04-29,35670,36180,35670,35930,35930,80990
2014-05-05,35930,35930,35150,35400,35400,264620
2014-05-06,35400,35400,34100,34370,34370,271300
2014-05-07,34630,35150,34370,34630,34630,96260
2014-05-08,34370,34370,32310,32310,32310,866350
2014-05-09,32580,33850,32310,33600,33600,255360
2014-05-12,33600,33600,31520,32060,32060,444150
2014-05-13,31780,32830,31780,31780,31780,235060
2014-05-14,31260,32580,31260,32580,32580,283680
2014-05-15,32060,32830,31260,31520,31520,303320
2014-05-16,31520,32060,31260,31780,31780,220610
2014-05-19,31780,32310,31520,32060,32060,165780
2014-05-20,32060,32580,31780,32310,32310,141870
2014-05-21,32310,32830,32310,32830,32830,117900
2014-05-22,32830,33630,32830,33090,33090,205250
2014-05-23,33090,33360,32830,32830,32830,76260
2014-05-26,32580,32830,32310,32310,32310,106630
2014-05-27,32580,32830,32060,32580,32580,155960
2014-05-28,32580,32830,32060,32310,32310,109830
2014-05-29,32060,32580,32060,32310,32310,77340
2014-05-30,32310,32830,32310,32310,32310,138880
2014-06-02,32310,32830,32060,32580,32580,145600
2014-06-03,32580,32830,32310,32580,32580,67150
2014-06-04,32580,32830,32310,32580,32580,182950
2014-06-05,32830,32830,32060,32580,32580,85820
2014-06-06,32580,32580,32310,32580,32580,31640
2014-06-09,32580,32830,32310,32580,32580,167320
2014-06-10,32310,32580,32060,32060,32060,159700
2014-06-11,32310,32310,31780,32060,32060,197300
2014-06-12,32060,32310,32060,32310,32310,105560
2014-06-13,32580,32580,32060,32060,32060,140310
2014-06-16,32060,32310,32060,32060,32060,49920
2014-06-17,32060,32310,32060,32060,32060,174680
2014-06-18,32060,32310,31780,32060,32060,97760
2014-06-19,31780,32060,31780,31780,31780,95070
2014-06-20,32060,32060,31780,31780,31780,82380
